,FINESS_O,FINESS_D,O,D,O_lat,O_lon,D_lat,D_lon,ID,id_coord,Results_value_17h,minutes_17h
0,130783293,130804297,"43.2921827109591,5.40210784602733","43.2921827109591,5.40210784602733",43.2921827109591,5.40210784602733,43.2921827109591,5.40210784602733,130783293-130804297,"5.40210784602733,43.2921827109591-5.40210784602733,43.2921827109591",0:01:00,1
2,60785003,60785003,"43.7242384299709,7.28102802111945","43.7242384299709,7.28102802111945",43.7242384299709,7.28102802111945,43.7242384299709,7.28102802111945,60785003-60785003,"7.28102802111945,43.7242384299709-7.28102802111945,43.7242384299709",0:01:00,1
3,750120016,750000499,"48.8380976694563,2.34424407470017","48.8302146671579,2.34096760180631",48.8380976694563,2.34424407470017,48.8302146671579,2.34096760180631,750120016-750000499,"2.34424407470017,48.8380976694563-2.34096760180631,48.8302146671579",0:06:00,6
4,750000499,750120016,"48.8302146671579,2.34096760180631","48.8380976694563,2.34424407470017",48.8302146671579,2.34096760180631,48.8380976694563,2.34424407470017,750000499-750120016,"2.34096760180631,48.8302146671579-2.34424407470017,48.8380976694563",0:06:00,6
5,750100125,750120016,"48.8401867523797,2.36319606659128","48.8380976694563,2.34424407470017",48.8401867523797,2.36319606659128,48.8380976694563,2.34424407470017,750100125-750120016,"2.36319606659128,48.8401867523797-2.34424407470017,48.8380976694563",0:08:00,8
6,750120016,750100125,"48.8380976694563,2.34424407470017","48.8401867523797,2.36319606659128",48.8380976694563,2.34424407470017,48.8401867523797,2.36319606659128,750120016-750100125,"2.34424407470017,48.8380976694563-2.36319606659128,48.8401867523797",0:09:00,9
7,750000549,750100042,"48.8783047798995,2.37808843367725","48.8818559604838,2.35408775246107",48.8783047798995,2.37808843367725,48.8818559604838,2.35408775246107,750000549-750100042,"2.37808843367725,48.8783047798995-2.35408775246107,48.8818559604838",0:10:00,10
8,750100125,750000499,"48.8401867523797,2.36319606659128","48.8302146671579,2.34096760180631",48.8401867523797,2.36319606659128,48.8302146671579,2.34096760180631,750100125-750000499,"2.36319606659128,48.8401867523797-2.34096760180631,48.8302146671579",0:10:00,10
9,750120016,750100208,"48.8380976694563,2.34424407470017","48.8463434092809,2.31541258881328",48.8380976694563,2.34424407470017,48.8463434092809,2.31541258881328,750120016-750100208,"2.34424407470017,48.8380976694563-2.31541258881328,48.8463434092809",0:10:00,10
10,750000499,750100125,"48.8302146671579,2.34096760180631","48.8401867523797,2.36319606659128",48.8302146671579,2.34096760180631,48.8401867523797,2.36319606659128,750000499-750100125,"2.34096760180631,48.8302146671579-2.36319606659128,48.8401867523797",0:11:00,11
11,750100208,750120016,"48.8463434092809,2.31541258881328","48.8380976694563,2.34424407470017",48.8463434092809,2.31541258881328,48.8380976694563,2.34424407470017,750100208-750120016,"2.31541258881328,48.8463434092809-2.34424407470017,48.8380976694563",0:11:00,11
